path_in_release,source_path,edit_kind,reason,source_sha256,release_sha256
figures/图3_标准空间预测/code/render_final.py,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图3_标准空间预测/code/render_final.py,fallback_paths,release stores the P42 arrays once under reproduction/; the script prefers the figure-local export and falls back to the release root,d719172d9b4645907c5355847723025697da568aa65f276b399a413002d828d4,ea91fcd9dadc848989b6d35265654c10c4cc58f4943a8628ae2ce4cc8f870495
figures/图8_天气条件响应/code/render_final.py,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图8_天气条件响应/code/render_final.py,fallback_paths,same fallback mechanism for the W02 arrays,e0b05756c7c4137ab789d1c1f55c1c9b49db52ffc5c0ad7c15a4c11df077cbdd,13e83ea8b877687676560e33b40bd9b621b1f7f7755189260e453543dbd0fa7c
figures/图3_标准空间预测/code/README.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图3_标准空间预测/code/README.md,documentation,documents both input locations and marks the pre-baseline scripts as historical rather than current facts,c7e454a5ddeafb8c1cdc35797c194581512c678b274ed468f9667be0c3e0aac1,946d9dcea537c2041ad295ed3de467de7a358c83a0266aa316e142aa68014e84
figures/图8_天气条件响应/code/README.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图8_天气条件响应/code/README.md,documentation,documents both input locations,4c8cf16a072cc47315e56a422a1a5e8d6b2431e96c08ea6b9e2ad77e1fe11123,91c0d83c0abee598a533c4084b7a7a94bdb1ad0cfad014a19903181b0c64174f
figures/references/OVERVIEW_母稿_20260912T112243Z.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_narrative_20260912T112243Z/references/OVERVIEW_母稿_20260912T112243Z.md,stale_claim_fix,"adds a 'superseded master' banner, corrects two pre-redraw sentences that claimed the official baselines were unavailable, and turns 9 dead image links into plain text; no number changed",SOURCE_MISSING,524f8e14b8e41aca05fea7ca31a5d70a23f48c1348819fd69d63543ed19ad070
narrative/01_TerraState_第一数据集成果总览_十二章继承更新版.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_narrative_dual_20260913T082412Z/01_TerraState_第一数据集成果总览_十二章继承更新版.md,link_rewrite,relative figure links rewritten to ../figures/ because the source used absolute symlinks that are dead in a git checkout,dfe73a266ba71ff1d0dd22210ae04d08da0a0b85b1edc48d85226d9599e89991,2c03a595747d1b0557cb355d49d46b96d532b764eec7c7951e36888ba2059bd5
narrative/02_TerraState_中文论文叙事稿.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_narrative_dual_20260913T082412Z/02_TerraState_中文论文叙事稿.md,link_rewrite,same rewrite,d6f2cc9903a098e428dabaa38bd80d921a5cddf3b5041c44130bc6893a041d43,984613c6abcf75347c53717cf073fc01b7a65831016f0829a92e932c774eda66
figures/图3_标准空间预测/ANALYSIS_ZH.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图3_标准空间预测/ANALYSIS_ZH.md,documentation,names the four official baselines explicitly (ConvLSTM/PredRNN/SimVP/Contextformer) instead of only saying '四个官方基线',6e26fde8fd5b04bda79de9d328ecf120bf5ac07dcab63e2fad56de9cc31ff505,d42f971a462a53eb94770699aa3fe2663d9a19366030efd81df503b2b6871905
figures/图3_标准空间预测/README.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图3_标准空间预测/README.md,documentation,same: names the four official baselines explicitly,1216eff0b41e3fab4e0cb4e0b42c031e2ce3255514d19bf3651e2d3e7a9f2d6d,ba096a99820643b1363ada8926c86d411c00d4cb652adf34c375c619d152ebf1
narrative/01_TerraState_第一数据集成果总览_十二章继承更新版.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_narrative_dual_20260913T082412Z/01_TerraState_第一数据集成果总览_十二章继承更新版.md,wording_correction_20260913,"wording correction: history 130 -> 10 five-daily steps; three-seed R2_LC std range corrected to 2.9e-5..1.9e-4; figure 3 row order, figure 8 interval unit and figure 9 stage list aligned with the shipped figures; evidence matrix no longer merges dev476 with IID2856",3e8f700e10df723c15f53f6ae3510958fff5f07a8e864fed82d58965626a8b9a,447283925477bb305158ca42dbf1755deac221921b2745178a002ba977bcea32
